b'Name',b'Creator',b'First public release',b'Latest stable version',b'Latest Release Date',b'Programming language',b'Cost (US$)',b'Software license',b'Open source',b'Cli available',b'Minimum installed size'
b'ed',b'Ken Thompson',b'1970',b'unchanged from original',b'',b'C',b'Free',b'?',b'Yes',b'Yes',b'0.04 MB'
b'EditPlus',b'Sangil Kim',b'1998',b'4.2',b'2017-01-05',b'C++',b'$35',b'Shareware',b'No',b'',b''
b'Editra',b'Cody Precord',b'2007',b'0.7.20',b'2013-01-05',b'Python',b'Free',b'wxWindows license',b'Yes',b'',b''
b'EmEditor',"b'Emurasoft, Inc.'",b'1997',b'17.1.4',b'2017-09-12',b'',b'$39.99 1-user',b'Shareware',b'No',b'',b''
b'epsilon',b'Lugaru Software',b'1984',b'13.06',b'2016-12-06',b'C',b'$250',b'Proprietary',b'No',b'',b''
b'gedit',b'GNU Project',b'2000',b'3.26.0',b'2017-09-13',b'C',b'Free',b'GPL',b'Yes',b'',b''
b'Geany',b'Enrico Tr\xc3\xb6ger',b'2005',b'1.31',b'2017-07-17',"b'C, GTK2'",b'Free',b'GPL',b'Yes',b'',b''
b'GNU Emacs',b'Richard Stallman',b'1984',b'25.3',b'2017-09-11',"b'C, Emacs Lisp'",b'Free',b'GPL',b'Yes',b'Yes',b'11.6 MB'
b'Gobby',b'0x539 dev group',b'2005',b'0.5.0',b'2014-08-24',b'C++',b'Free',b'GPL',b'Yes',b'',b''
b'JED',b'John E. Davis',b'1992',b'0.99-19',b'2009-12-13',"b'C, S-Lang'",b'Free',b'GPL',b'Yes',b'Yes',b'3.5 MB[1]'
b'jEdit',b'Slava Pestov',b'1998',b'5.4.0',b'2017-03-18',b'Java',b'Free',b'GPL',b'Yes',b'',b''
b'JOE',b'Joseph Allen',b'1988',b'4.5',b'2017-09-24',b'C',b'Free',b'GPL',b'Yes',b'Yes',b'1.3 MB'
b'JOVE',b'Johnathon Payne',b'1983',b'4.16',b'1996-03-19',b'C',b'Free',b'GPL',b'Yes',b'',b''
b'Kate',b'KDE Project',b'2000-12',b'17.04.1',b'2017-05-11',b'C++',b'Free',b'GPL',b'Yes',b'',b''
b'KEDIT',"b'Mansfield Software Group, Inc.'",b'1983',b'1.6.1',b'2016-12-05',b'C',b'$129',b'Proprietary',b'No',b'Yes',b'1.1MB'
b'Komodo Edit',b'Activestate',b'open-sourced 2007',b'10.2.0',b'2017-02-27',"b'Python, JavaScript, Perl, Tcl, PHP, Ruby'",b'Free',"b'MPL, GPL, LGPL'",b'Yes',b'',b''
b'Komodo IDE',b'Activestate',b'2001',b'10.2.0',b'2017-02-27',"b'Python, JavaScript, Perl, Tcl, PHP, Ruby'",b'$295',b'Proprietary',b'No',b'',b''
b'KWrite',b'KDE Project',b'2000',b'17.04.1',b'2017-05-11',b'C++',b'Free',b'GPL',b'Yes',b'',b''
b'LE',b'Alexander V. Lukyanov',b'1997',b'1.16.3',b'2016-06-06',b'C++',b'Free',b'GPL',b'Yes',b'',b''
b'Leo',b'Edward K. Ream',b'1996',b'5.6',b'2017-09-25',b'Python',b'Free',b'MIT',b'Yes',b'',b''
b'Light Table',b'Chris Granger',b'2012',b'0.7',b'2016-01-21',b'ClojureScript',b'Free',b'MIT',b'Yes',b'',b''
b'Metapad',b'Alexander Davidson',b'1999',b'3.6',b'2011-05-28',b'C',b'Free',b'GPL',b'Yes',b'',b''
b'mg',b'Dave Conroy',b'1986',b'current',b'',b'C',b'Free',b'Public domain',b'Yes',b'',b''
b'MinEd',b'Thomas Wolff',b'1992',b'2015.25',b'2015-03-30',b'C',b'Free',b'GPL',b'Yes',b'',b''
b'MS-DOS Editor',b'Microsoft',b'1991',b'2.0.026',b'',b'',"b'Bundled with MS-DOS, Microsoft Windows'",b'Proprietary',b'No',b'No',b''
b'Nano',b'Chris Allegretta',b'1999',b'2.8.6',b'2017-07-21',b'C',b'Free',b'GPL',b'Yes',b'Yes',b'0.6 MB'
b'ne',"b'Sebastiano Vigna, Todd Lewis, Daniele Filaretti'",b'1993',b'3.1.1',b'2017-06-04',b'C',b'Free',b'GPL',b'Yes',b'',b''
b'NEdit',b'Mark Edel',b'1991',b'5.7',b'2017-02-08',b'C',b'Free',b'GPL',b'Yes',b'',b''
b'Notepad',b'Microsoft',b'1985',b'6.0',b'',b'MASM (originally)',b'Bundled with Microsoft Windows',b'Proprietary',b'No',b'',b''
